"tconst","primaryTitle","startYear","rank","averageRating","numVotes","runtimeMinutes","directors","writers","genres","IMDbLink","Title_IMDb_Link"
"tt3395184","Spring",2014,3524,6.7,32954,109,"Justin Benson, Aaron Moorhead","Justin Benson","Drama, Horror, Romance","<a href=""https://www.imdb.com/title/tt3395184"" target=""_blank"">tt3395184</a>","<a href=""https://www.imdb.com/title/tt3395184"" target=""_blank"">Spring</a>"
"tt0051744","House on Haunted Hill",1959,3525,6.7,32823,75,"William Castle","Robb White","Crime, Horror, Mystery","<a href=""https://www.imdb.com/title/tt0051744"" target=""_blank"">tt0051744</a>","<a href=""https://www.imdb.com/title/tt0051744"" target=""_blank"">House on Haunted Hill</a>"
"tt0067756","Silent Running",1972,3526,6.6,32816,89,"Douglas Trumbull","Deric Washburn, Michael Cimino, Steven Bochco","Drama, Sci-Fi","<a href=""https://www.imdb.com/title/tt0067756"" target=""_blank"">tt0067756</a>","<a href=""https://www.imdb.com/title/tt0067756"" target=""_blank"">Silent Running</a>"
"tt3139072","Son of Batman",2014,3527,6.7,32736,74,"Ethan Spaulding","Bob Kane, Grant Morrison, Andy Kubert, James Robinson, Joe R. Lansdale, Marv Wolfman, George Pérez, Gerry Conway, Don Newton","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt3139072"" target=""_blank"">tt3139072</a>","<a href=""https://www.imdb.com/title/tt3139072"" target=""_blank"">Son of Batman</a>"
"tt0284978","Cypher",2002,3528,6.7,32609,95,"Vincenzo Natali","Brian King","Mystery, Sci-Fi, Thriller","<a href=""https://www.imdb.com/title/tt0284978"" target=""_blank"">tt0284978</a>","<a href=""https://www.imdb.com/title/tt0284978"" target=""_blank"">Cypher</a>"
"tt0089908","Return to Oz",1985,3529,6.7,32597,113,"Walter Murch","Walter Murch, Gill Dennis, L. Frank Baum","Adventure, Family, Fantasy","<a href=""https://www.imdb.com/title/tt0089908"" target=""_blank"">tt0089908</a>","<a href=""https://www.imdb.com/title/tt0089908"" target=""_blank"">Return to Oz</a>"
"tt0091557","The Mosquito Coast",1986,3530,6.6,32525,117,"Peter Weir","Paul Theroux, Paul Schrader","Adventure, Drama, Thriller","<a href=""https://www.imdb.com/title/tt0091557"" target=""_blank"">tt0091557</a>","<a href=""https://www.imdb.com/title/tt0091557"" target=""_blank"">The Mosquito Coast</a>"
"tt0842929","Paranoid Park",2007,3531,6.6,32474,85,"Gus Van Sant","Gus Van Sant, Blake Nelson","Crime, Drama, Mystery","<a href=""https://www.imdb.com/title/tt0842929"" target=""_blank"">tt0842929</a>","<a href=""https://www.imdb.com/title/tt0842929"" target=""_blank"">Paranoid Park</a>"
"tt0488085","Big Nothing",2006,3532,6.7,32435,86,"Jean-Baptiste Andrea","Jean-Baptiste Andrea, William Rosenfeld","Comedy, Crime, Thriller","<a href=""https://www.imdb.com/title/tt0488085"" target=""_blank"">tt0488085</a>","<a href=""https://www.imdb.com/title/tt0488085"" target=""_blank"">Big Nothing</a>"
"tt0841044","Two Days in Paris",2007,3533,6.7,32412,96,"Julie Delpy","Julie Delpy","Comedy, Drama, Romance","<a href=""https://www.imdb.com/title/tt0841044"" target=""_blank"">tt0841044</a>","<a href=""https://www.imdb.com/title/tt0841044"" target=""_blank"">Two Days in Paris</a>"
"tt0107501","The Man Without a Face",1993,3534,6.7,32224,115,"Mel Gibson","Isabelle Holland, Malcolm MacRury","Drama","<a href=""https://www.imdb.com/title/tt0107501"" target=""_blank"">tt0107501</a>","<a href=""https://www.imdb.com/title/tt0107501"" target=""_blank"">The Man Without a Face</a>"
"tt0110006","Heavyweights",1995,3535,6.6,32204,97,"Steven Brill","Judd Apatow, Steven Brill","Comedy, Drama, Family","<a href=""https://www.imdb.com/title/tt0110006"" target=""_blank"">tt0110006</a>","<a href=""https://www.imdb.com/title/tt0110006"" target=""_blank"">Heavyweights</a>"
"tt2452254","Clouds of Sils Maria",2014,3536,6.7,32062,124,"Olivier Assayas","Olivier Assayas","Drama","<a href=""https://www.imdb.com/title/tt2452254"" target=""_blank"">tt2452254</a>","<a href=""https://www.imdb.com/title/tt2452254"" target=""_blank"">Clouds of Sils Maria</a>"
"tt0120633","A Civil Action",1998,3537,6.6,31979,115,"Steven Zaillian","Jonathan Harr, Steven Zaillian","Biography, Drama","<a href=""https://www.imdb.com/title/tt0120633"" target=""_blank"">tt0120633</a>","<a href=""https://www.imdb.com/title/tt0120633"" target=""_blank"">A Civil Action</a>"
"tt0087909","Phenomena",1985,3538,6.7,31872,116,"Dario Argento","Dario Argento, Franco Ferrini","Crime, Horror, Mystery","<a href=""https://www.imdb.com/title/tt0087909"" target=""_blank"">tt0087909</a>","<a href=""https://www.imdb.com/title/tt0087909"" target=""_blank"">Phenomena</a>"
"tt0081562","Stir Crazy",1980,3539,6.7,31695,111,"Sidney Poitier","Bruce Jay Friedman, Charles Blackwell","Comedy, Crime","<a href=""https://www.imdb.com/title/tt0081562"" target=""_blank"">tt0081562</a>","<a href=""https://www.imdb.com/title/tt0081562"" target=""_blank"">Stir Crazy</a>"
"tt0441048","Dhoom 2",2006,3540,6.6,31581,152,"Sanjay Gadhvi","Vijay Krishna Acharya, Aditya Chopra","Action, Crime, Thriller","<a href=""https://www.imdb.com/title/tt0441048"" target=""_blank"">tt0441048</a>","<a href=""https://www.imdb.com/title/tt0441048"" target=""_blank"">Dhoom 2</a>"
"tt0094894","Colors",1988,3541,6.7,31537,120,"Dennis Hopper","Michael Schiffer, Richard Di Lello","Action, Crime, Drama","<a href=""https://www.imdb.com/title/tt0094894"" target=""_blank"">tt0094894</a>","<a href=""https://www.imdb.com/title/tt0094894"" target=""_blank"">Colors</a>"
"tt0116999","Marvin's Room",1996,3542,6.7,31127,98,"Jerry Zaks","Scott McPherson","Drama","<a href=""https://www.imdb.com/title/tt0116999"" target=""_blank"">tt0116999</a>","<a href=""https://www.imdb.com/title/tt0116999"" target=""_blank"">Marvin's Room</a>"
"tt0048960","Around the World in 80 Days",1956,3543,6.7,31027,175,"Michael Anderson, John Farrow","James Poe, John Farrow, S.J. Perelman, Jules Verne","Adventure, Comedy, Family","<a href=""https://www.imdb.com/title/tt0048960"" target=""_blank"">tt0048960</a>","<a href=""https://www.imdb.com/title/tt0048960"" target=""_blank"">Around the World in 80 Days</a>"
"tt7693316","Devotion",2022,3544,6.6,30920,139,"J.D. Dillard","Jake Crane, Jonathan Stewart, Adam Makos","Action, Biography, Drama","<a href=""https://www.imdb.com/title/tt7693316"" target=""_blank"">tt7693316</a>","<a href=""https://www.imdb.com/title/tt7693316"" target=""_blank"">Devotion</a>"
"tt0119942","Primary Colors",1998,3545,6.7,30909,143,"Mike Nichols","Joe Klein, Elaine May","Comedy, Drama","<a href=""https://www.imdb.com/title/tt0119942"" target=""_blank"">tt0119942</a>","<a href=""https://www.imdb.com/title/tt0119942"" target=""_blank"">Primary Colors</a>"
"tt0114660","Things to Do in Denver When You're Dead",1995,3546,6.7,30871,115,"Gary Fleder","Scott Rosenberg","Crime, Drama, Thriller","<a href=""https://www.imdb.com/title/tt0114660"" target=""_blank"">tt0114660</a>","<a href=""https://www.imdb.com/title/tt0114660"" target=""_blank"">Things to Do in Denver When You're Dead</a>"
"tt0113228","Grumpier Old Men",1995,3547,6.7,30869,101,"Howard Deutch","Mark Steven Johnson","Comedy, Romance","<a href=""https://www.imdb.com/title/tt0113228"" target=""_blank"">tt0113228</a>","<a href=""https://www.imdb.com/title/tt0113228"" target=""_blank"">Grumpier Old Men</a>"
"tt1481572","Happythankyoumoreplease",2010,3548,6.7,30824,100,"Josh Radnor","Josh Radnor","Comedy, Drama, Romance","<a href=""https://www.imdb.com/title/tt1481572"" target=""_blank"">tt1481572</a>","<a href=""https://www.imdb.com/title/tt1481572"" target=""_blank"">Happythankyoumoreplease</a>"
"tt0061107","Torn Curtain",1966,3549,6.6,30762,128,"Alfred Hitchcock","Brian Moore, Willis Hall, Keith Waterhouse","Drama, Romance, Thriller","<a href=""https://www.imdb.com/title/tt0061107"" target=""_blank"">tt0061107</a>","<a href=""https://www.imdb.com/title/tt0061107"" target=""_blank"">Torn Curtain</a>"
"tt0457572","Fido",2006,3550,6.7,30720,93,"Andrew Currie","Robert Chomiak, Andrew Currie, Dennis Heaton","Comedy, Drama, Horror","<a href=""https://www.imdb.com/title/tt0457572"" target=""_blank"">tt0457572</a>","<a href=""https://www.imdb.com/title/tt0457572"" target=""_blank"">Fido</a>"
"tt0325655","The Eye",2002,3551,6.6,30629,99,"Danny Pang, Oxide Chun Pang","Yuet-Jan Hui, Danny Pang, Oxide Chun Pang","Horror, Mystery, Thriller","<a href=""https://www.imdb.com/title/tt0325655"" target=""_blank"">tt0325655</a>","<a href=""https://www.imdb.com/title/tt0325655"" target=""_blank"">The Eye</a>"
"tt0085701","The Hunger",1983,3552,6.6,30602,97,"Tony Scott","James Costigan, Michael Thomas, Whitley Strieber","Drama, Horror","<a href=""https://www.imdb.com/title/tt0085701"" target=""_blank"">tt0085701</a>","<a href=""https://www.imdb.com/title/tt0085701"" target=""_blank"">The Hunger</a>"
"tt3672742","Turbo Kid",2015,3553,6.7,30579,93,"François Simard, Anouk Whissell, Yoann-Karl Whissell","Anouk Whissell, François Simard, Yoann-Karl Whissell","Action, Adventure, Comedy","<a href=""https://www.imdb.com/title/tt3672742"" target=""_blank"">tt3672742</a>","<a href=""https://www.imdb.com/title/tt3672742"" target=""_blank"">Turbo Kid</a>"
"tt1127896","Taking Woodstock",2009,3554,6.7,30433,120,"Ang Lee","James Schamus, Elliot Tiber, Tom Monte","Biography, Comedy, Drama","<a href=""https://www.imdb.com/title/tt1127896"" target=""_blank"">tt1127896</a>","<a href=""https://www.imdb.com/title/tt1127896"" target=""_blank"">Taking Woodstock</a>"
"tt1648216","Three Steps Above Heaven",2010,3555,6.7,30206,118,"Fernando González Molina","Federico Moccia, Ramón Salazar","Action, Drama, Romance","<a href=""https://www.imdb.com/title/tt1648216"" target=""_blank"">tt1648216</a>","<a href=""https://www.imdb.com/title/tt1648216"" target=""_blank"">Three Steps Above Heaven</a>"
"tt0074851","The Man Who Fell to Earth",1976,3556,6.6,30189,139,"Nicolas Roeg","Paul Mayersberg, Walter Tevis","Drama, Sci-Fi","<a href=""https://www.imdb.com/title/tt0074851"" target=""_blank"">tt0074851</a>","<a href=""https://www.imdb.com/title/tt0074851"" target=""_blank"">The Man Who Fell to Earth</a>"
"tt4572792","The Book of Henry",2017,3557,6.6,30181,105,"Colin Trevorrow","Gregg Hurwitz","Crime, Drama, Thriller","<a href=""https://www.imdb.com/title/tt4572792"" target=""_blank"">tt4572792</a>","<a href=""https://www.imdb.com/title/tt4572792"" target=""_blank"">The Book of Henry</a>"
"tt1334553","The Perfect Host",2010,3558,6.7,30066,93,"Nicholas Tomnay","Nicholas Tomnay, Krishna Jones","Comedy, Crime, Thriller","<a href=""https://www.imdb.com/title/tt1334553"" target=""_blank"">tt1334553</a>","<a href=""https://www.imdb.com/title/tt1334553"" target=""_blank"">The Perfect Host</a>"
"tt6348138","Missing Link",2019,3559,6.7,29941,93,"Chris Butler","Chris Butler","Adventure, Animation, Comedy","<a href=""https://www.imdb.com/title/tt6348138"" target=""_blank"">tt6348138</a>","<a href=""https://www.imdb.com/title/tt6348138"" target=""_blank"">Missing Link</a>"
"tt6432466","Moxie",2021,3560,6.7,29933,111,"Amy Poehler","Jennifer Mathieu, Tamara Chestna, Dylan Meyer","Comedy, Drama","<a href=""https://www.imdb.com/title/tt6432466"" target=""_blank"">tt6432466</a>","<a href=""https://www.imdb.com/title/tt6432466"" target=""_blank"">Moxie</a>"
"tt0085970","Mr. Mom",1983,3561,6.6,29830,91,"Stan Dragoti","John Hughes","Comedy, Drama","<a href=""https://www.imdb.com/title/tt0085970"" target=""_blank"">tt0085970</a>","<a href=""https://www.imdb.com/title/tt0085970"" target=""_blank"">Mr. Mom</a>"
"tt0094025","Stakeout",1987,3562,6.7,29579,117,"John Badham","Jim Kouf","Action, Comedy, Crime","<a href=""https://www.imdb.com/title/tt0094025"" target=""_blank"">tt0094025</a>","<a href=""https://www.imdb.com/title/tt0094025"" target=""_blank"">Stakeout</a>"
"tt0866437","The Jane Austen Book Club",2007,3563,6.7,29479,106,"Robin Swicord","Robin Swicord, Karen Joy Fowler","Comedy, Drama, Romance","<a href=""https://www.imdb.com/title/tt0866437"" target=""_blank"">tt0866437</a>","<a href=""https://www.imdb.com/title/tt0866437"" target=""_blank"">The Jane Austen Book Club</a>"
"tt10187208","A Boy Called Christmas",2021,3564,6.7,29467,106,"Gil Kenan","Ol Parker, Gil Kenan, Matt Haig, Surbhi Sehgal","Adventure, Drama, Family","<a href=""https://www.imdb.com/title/tt10187208"" target=""_blank"">tt10187208</a>","<a href=""https://www.imdb.com/title/tt10187208"" target=""_blank"">A Boy Called Christmas</a>"
"tt2872462","Mistress America",2015,3565,6.7,29310,84,"Noah Baumbach","Noah Baumbach, Greta Gerwig","Comedy, Drama","<a href=""https://www.imdb.com/title/tt2872462"" target=""_blank"">tt2872462</a>","<a href=""https://www.imdb.com/title/tt2872462"" target=""_blank"">Mistress America</a>"
"tt3369806","Max",2015,3566,6.6,29273,111,"Boaz Yakin","Boaz Yakin, Sheldon Lettich","Adventure, Drama, Family","<a href=""https://www.imdb.com/title/tt3369806"" target=""_blank"">tt3369806</a>","<a href=""https://www.imdb.com/title/tt3369806"" target=""_blank"">Max</a>"
"tt0134618","Mystery, Alaska",1999,3567,6.7,29134,119,"Jay Roach","David E. Kelley, Sean O'Byrne","Comedy, Drama, Sport","<a href=""https://www.imdb.com/title/tt0134618"" target=""_blank"">tt0134618</a>","<a href=""https://www.imdb.com/title/tt0134618"" target=""_blank"">Mystery, Alaska</a>"
"tt0093137","Hamburger Hill",1987,3568,6.7,29118,110,"John Irvin","James Carabatsos","Action, Drama, Thriller","<a href=""https://www.imdb.com/title/tt0093137"" target=""_blank"">tt0093137</a>","<a href=""https://www.imdb.com/title/tt0093137"" target=""_blank"">Hamburger Hill</a>"
"tt1742336","Your Sister's Sister",2011,3569,6.7,28887,90,"Lynn Shelton","Lynn Shelton","Comedy, Drama, Romance","<a href=""https://www.imdb.com/title/tt1742336"" target=""_blank"">tt1742336</a>","<a href=""https://www.imdb.com/title/tt1742336"" target=""_blank"">Your Sister's Sister</a>"
