names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
Utama,06/09/2022 ,74.0,Drama,"In the Bolivian altiplano, Virginio and Sisa, an elderly Quechua couple who have lived a quiet life for years, face an impossible dilemma during an unusually long drought: resist or be defeated by the hostile environment and the relentless passage of time.","José Calcina, Virginio, Luisa Quispe, Sisa, Santos Choque, Clever, Félix Ticona, Estanis, Placide Ali, Eugenia, Candelaria Quispe, Elena, René Calcina, Mototarista, René Pérez, Callawaya, Jorge Yucra Nogales, Doctor",Utama, Released," Spanish, Castilian",67800000.0,653988016.4,AU
After We Leave,02/25/2020 ,53.0,"Science Fiction, Drama","A sci-fi drama about a man struggling to find his wife, who he abandoned six years ago, before their visa to emmigrate to an off-world colony expires.","Brian Silverman, Jack, Clay Wilcox, Eric, Anslem Richardson, Morgan, Anita Leeman Torres, Lexi, Joe Sachem, Drifter",After We Leave, Released, English,77400000.0,745706751.2,US
Romeo Must Die,10/15/2000 ,62.0,"Action, Crime, Thriller","Two warring gang families (one African-American, the other Chinese) maneuver for bragging rights to the Oakland, California, docks. Hang Sing and Trish O'Day uncover a trail of deceit that leaves most of the warring factions dead … or worse!","Jet Li, Han Sing, Aaliyah, Trish O'Day, Isaiah Washington, Mac, Russell Wong, Kai, DMX, Silk, Delroy Lindo, Isaak O'Day, D.B. Woodside, Colin O'Day, Jon Kit Lee, Po Sing, Edoardo Ballerini, Vincent Roth",Romeo Must Die, Released, English,25000000.0,91036760.0,AU
Woman in a Box: Virgin Sacrifice,09/07/1985 ,37.0,"Thriller, Horror, Crime","1985 Roman Porno released under the ""Roman X"" imprint. A young virgin is captured by an abnormal couple. The girl is kept locked in a wooden box, and subjected to sexual torture and abuse. Loosely inspired by the real-life case of Colleen Stan.","Reiko Sai, Takahashi, Yukiko, Saeko Kizuki, Ikeda, Miyoko, Kōjirō Kusanagi, Yokozawa, Keiji, Takashi Obara, Uchiyama, Hajime, Hiroshi Tamura, Takahashi, Yûichi", 箱の中の女　処女いけにえ, Released, Japanese,58670000.0,385960548.2,JP
Infernal Affairs,11/05/2003 ,78.0,"Drama, Action, Thriller, Crime, Mystery","Chan Wing Yan, a young police officer, has been sent undercover as a mole in the local mafia. Lau Kin Ming, a young mafia member, infiltrates the police force. Years later, their older counterparts, Chen Wing Yan and Inspector Lau Kin Ming, respectively, race against time to expose the mole within their midst.","Andy Lau, Lau Kin-Ming, Tony Leung Chiu-wai, Chan Wing-Yan, Anthony Wong, Wong Chi-Shing, Eric Tsang, Hon Sam, Kelly Chen, Lee Sum-Yee, Sammi Cheng, Mary, Edison Chen, Lau Kin-Ming (young), Shawn Yue, Chan Wing-Yan (young), Chapman To, ""Silly"" Keung", 無間道, Released, Cantonese,125000.0,8708932.0,AU
See No Evil,05/19/2006 ,54.0,"Horror, Thriller","A group of delinquents are sent to clean the Blackwell Hotel but little do they know reclusive psychopath Jacob Goodnight has holed away in the rotting hotel. When one of the teens is captured, those who remain band together to survive against the brutal killer.","Glenn Jacobs, Jacob Goodnight, Christina Vidal, Christine, Luke Pegler, Michael, Craig Horner, Richie, Rachael Taylor, Zoe, Jason Chong, News Reporter, Michael J. Pagan, Tye, Samantha Noble, Kira, Steven Vidler, Williams",See No Evil, Released, English,8000000.0,18828036.0,US
Gnome Alone,10/19/2018 ,62.0,"Family, Adventure, Animation, Comedy, Fantasy","When Chloe discovers that her new home's garden gnomes are not what they seem, she must decide between the pursuit of a desired high school life and taking up the fight against the Troggs.","Becky G, Chloë (voice), Nash Grier, Trey (voice), Tara Strong, Catherine (voice), Josh Peck, Liam (voice), David Koechner, Zamfeer (voice), Olivia Holt, Brittany (voice), George Lopez, Zook (voice), Madison De La Garza, Tiffany / Chelsea (voice), Jeff Dunham, Quicksilver (voice)",Gnome Alone, Released, English,16740000.0,10800715.0,GB
Resort to Love,07/29/2021 ,73.0,"Romance, Comedy",Aspiring pop star Erica ends up as the entertainment at her ex-fiancé’s wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.,"Christina Milian, Erica, Jay Pharoah, Jason, Sinqua Walls, Caleb, Christiani Pitts, Beverly, Karen Obilom, , Alexander Hodge, , T.J. Power, , Sylvaine Strike, , Jeryl Prescott, ",Resort to Love, Released, English,110800000.0,517154102.4,US
Kikujiro,06/05/1999 ,76.0,"Comedy, Drama, Family","Brash, loudmouthed and opportunistic, Kikujiro is the unlikely companion for Masao who is determined to see the mother he has never met. The two begin a series of adventures which soon turns out to be a whimsical journey of laughter and tears with a wide array of surprises and unique characters along the way.","Takeshi Kitano, Kikujiro, Yusuke Sekiguchi, Masao, Kayoko Kishimoto, Kikujiro's Wife, Yuko Daike, Masao's Mother, Kazuko Yoshiyuki, Masao's Grandmother, Beat Kiyoshi, Man at Bus Stop, Gurêto Gidayû, Biker Fatso, Rakkyo Ide, Biker Baldy, Nezumi Imamura, An-chan", 菊次郎の夏, Released, Japanese,129335539.8,730150249.8,JP
Father of the Bride,12/26/1991 ,64.0,"Comedy, Romance","George Banks is an ordinary, middle-class man whose 22 year-old daughter Annie has decided to marry a man from an upper-class family, but George can't think of what life would be like without his daughter. His wife tries to make him happy for Annie, but when the wedding takes place at their home and a foreign wedding planner takes over the ceremony, he becomes slightly insane.","Steve Martin, George Stanley Banks, Diane Keaton, Nina Banks, Kimberly Williams-Paisley, Annie Banks, Kieran Culkin, Matty Banks, George Newbern, Bryan MacKenzie, Martin Short, Franck Eggelhoffer, BD Wong, Howard Weinstein, Peter Michael Goetz, John MacKenzie, Kate McGregor-Stewart, Joanna MacKenzie",Father of the Bride, Released, English,20000000.0,89325780.0,AU
