show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s5818,Movie,Eruption LA,Sean Cain,"Matthew Atkinson, Lexi Johnson, Amy Paffrath, Harry Van Gorkum, Eric Etebari",,,2018,UNRATED,87 min,"Action, Adventure, Fantasy",Struggling screenwriter Josh Kendricks finds himself starring in his own disaster movie when volcanoes begin erupting all over Los Angeles. Now Josh must work together with a scientist and a Hollywood diva to save the city before it blows in one final eruption.
s5819,Movie,Ed Hill: Candy and Smiley,Jeremy Podlog,Ed Hill,,,2021,13+,68 min,"Arts, Entertainment, and Culture, Comedy","Candy & Smiley is relevant, realistic, and at times – ridiculous. Comprised of stories about Ed's life and relationship with his parents, the special explores the intricacies and intimacies of a first generation Taiwanese-Canadian family."
s5820,Movie,Duniyadari,Sanjay Jadhav,"Swapnil Joshi, Sai Tamhankar, Ankush Chaudhari, Urmilla Kanetkar, Jitendra Joshi, Sushant Shellar, Richa Pariyalli, Sandeep Kulkarni, Anand Abhyankar, Nagesh Bhonsle, Shrirang Deshmukh, Ajinkya Joshi, Varsha Usgaonkar, Rajesh Bhosle",India,,2013,13+,146 min,Romance,"A young man in his 20s who is caught up in a bitter relationship with his parents. In spite of having all materialistic pleasures he craves for something better in his life. The void in his life is filled by the Digya gang he meets on college katta, soon comes bliss in his life in form of two beautiful girls. Life teaches Shreyas to face facts, through his friends and people around him."
s5821,Movie,Drastic Measures,Wade Alexander,"Christian Velky, Marikah Cunningham, Cody Laper, Shadia Martin",,,2019,16+,79 min,"Drama, Horror, Suspense",An estranged husband and wife attempt to rekindle their marriage by taking a vacation at a cabin in the woods. But they soon find themselves in a dangerous situation when another couple unexpectedly appears.
s5822,Movie,Crucified,Claudio Lattanzi,"Cinzia Monreale, Giovanni Lombardo Radice, Marina Loi, Veronica Urban, Lorenzo Lepori",,,2021,16+,72 min,"Horror, Suspense","In a world ravaged by the Apocalypse, groups of soldiers are engaged in exterminating every person they find in their search for patient zero, the root of all this evil."
s5823,Movie,Come Out Fighting,Eric Weston,"Joe Ricci, Michelle Palermo, Anthony Pavelich, Scott Anthony Leet, Richard O. Ryan",,,2016,18+,101 min,Romance,"A classic tale of love and survival in the brutal world of bare knuckle fighting. Powerfully told and acted by a wonderful ensemble of actors. Jazz desperately looks for a way out of the dark past that haunts him and the violence he faces as a bare knuckle fighter. Gia leads a lonely life while trying to corral her out of control brother ""Fast Buck"" Freddie who only dreams of a big and easy score."
s5824,Movie,Cleo,Giuseppe Di Paola,Ezio Maria Tisi,,,2020,13+,15 min,Drama,"""Cleo"" claustrophobically tells the routine of an elderly man named Bruno who has spent his entire life rejecting any kind of technology. The shortfilm wants to show an alternative vision of today's times in which technology is increasingly taking over the lives of the new generations, telling the point of view of those who cannot use it with the same ease."
s5825,Movie,Cannibal Troll,"Scott Jeffrey, Rebecca Matthews","Megan Purvis, Barbara Dabson, Faith Kiggundu, Georgina Jane",,,2021,18+,84 min,Horror,"A group of friends on a camping trip, for the bride to be' s hen do, find themselves hunted down by a man eating cannibal troll in the woodland. They are hunted, captured and locked up in the Trolls torture chamber being forced to undergo a variety of challenges in order to escape their fate."
s5826,TV Show,Bubble Bip,,"Marc Gómez, Christina Jopling, Cydney Fam, Michael Mena, Paula Barros",,,2015,7+,2 Seasons,"Animation, Kids","Bip is a bubble slinging, video game hero who spends his days defeating sassy squids from one level to the next. Entering Earth for the first time, Bip befriends a group of whacky kids and engages in endless adventures!"
s5827,Movie,Bastaard,Mathieu Mortelmans,"Amir Motaffaf, Arne de Tremerie, Bjarne Devolder, Bruno Mazereel, Cesar De Sutter, Koen De Bouw, Lukas Bulteel, Spencer Bogaert",,,2019,18+,104 min,"Drama, Suspense","Seventeen-year-old Daan does not have an easy time. His older brother Robbie died in an accident two years ago, which still leaves traces within the family. His mother Nina is locked up at home, his father Filip runs away from work. When mother and son meet the homeless Radja, Nina smells an opportunity to fill the void in her life again."
